snr,cqi,mcs
-0.4,5.0,7
-0.4,6.0,7
-0.4,7.0,7
-0.4,8.0,7
-0.4,9.0,7
-0.4,10.0,7
-0.4,11.0,7
-0.4,12.0,7
-0.4,13.0,7
-0.4,14.0,7
-0.4,15.0,7
-0.2,0.0,7
-0.2,1.0,7
-0.2,2.0,7
-0.2,3.0,7
-0.2,4.0,7
-0.2,5.0,7
-0.2,6.0,7
-0.2,7.0,7
-0.2,8.0,7
-0.2,9.0,7
-0.2,10.0,7
-0.2,11.0,7
-0.2,12.0,7
-0.2,13.0,7
-0.2,14.0,7
-0.2,15.0,7
0.0,0.0,8
0.0,1.0,8
0.0,2.0,8
0.0,3.0,8
0.0,4.0,8
0.0,5.0,8
0.0,6.0,8
0.0,7.0,8
0.0,8.0,8
0.0,9.0,8
0.0,10.0,8
0.0,11.0,8
0.0,12.0,8
0.0,13.0,8
0.0,14.0,8
0.0,15.0,8
0.2,0.0,8
0.2,1.0,8
0.2,2.0,8
0.2,3.0,8
0.2,4.0,8
0.2,5.0,8
0.2,6.0,8
0.2,7.0,8
0.2,8.0,8
0.2,9.0,8
0.2,10.0,8
0.2,11.0,8
0.2,12.0,8
0.2,13.0,8
0.2,14.0,8
0.2,15.0,8
0.4,0.0,8
0.4,1.0,8
0.4,2.0,8
0.4,3.0,8
0.4,4.0,8
0.4,5.0,8
0.4,6.0,8
0.4,7.0,8
0.4,8.0,8
0.4,9.0,8
0.4,10.0,8
0.4,11.0,8
0.4,12.0,8
0.4,13.0,8
0.4,14.0,8
0.4,15.0,8
0.6000000000000001,0.0,8
0.6000000000000001,1.0,8
0.6000000000000001,2.0,8
0.6000000000000001,3.0,8
0.6000000000000001,4.0,8
0.6000000000000001,5.0,8
0.6000000000000001,6.0,8
0.6000000000000001,7.0,8
0.6000000000000001,8.0,8
0.6000000000000001,9.0,8
0.6000000000000001,10.0,8
0.6000000000000001,11.0,8
0.6000000000000001,12.0,8
0.6000000000000001,13.0,8
0.6000000000000001,14.0,8
0.6000000000000001,15.0,8
0.8,0.0,8
0.8,1.0,8
0.8,2.0,8
0.8,3.0,8
0.8,4.0,8
0.8,5.0,8
0.8,6.0,8
0.8,7.0,8
0.8,8.0,8
0.8,9.0,8
0.8,10.0,8
0.8,11.0,8
0.8,12.0,8
0.8,13.0,8
0.8,14.0,8
0.8,15.0,8
1.0,0.0,8
1.0,1.0,8
1.0,2.0,8
1.0,3.0,8
1.0,4.0,8
1.0,5.0,8
1.0,6.0,8
1.0,7.0,8
1.0,8.0,8
1.0,9.0,8
1.0,10.0,8
1.0,11.0,8
1.0,12.0,8
1.0,13.0,8
1.0,14.0,8
1.0,15.0,8
1.2000000000000002,0.0,8
1.2000000000000002,1.0,8
1.2000000000000002,2.0,8
1.2000000000000002,3.0,8
1.2000000000000002,4.0,8
1.2000000000000002,5.0,8
1.2000000000000002,6.0,8
1.2000000000000002,7.0,8
1.2000000000000002,8.0,8
1.2000000000000002,9.0,8
1.2000000000000002,10.0,8
1.2000000000000002,11.0,8
1.2000000000000002,12.0,8
1.2000000000000002,13.0,8
1.2000000000000002,14.0,8
1.2000000000000002,15.0,8
1.4000000000000001,0.0,8
1.4000000000000001,1.0,8
1.4000000000000001,2.0,8
1.4000000000000001,3.0,8
1.4000000000000001,4.0,8
1.4000000000000001,5.0,8
1.4000000000000001,6.0,8
1.4000000000000001,7.0,8
1.4000000000000001,8.0,8
1.4000000000000001,9.0,8
1.4000000000000001,10.0,8
1.4000000000000001,11.0,8
1.4000000000000001,12.0,8
1.4000000000000001,13.0,8
1.4000000000000001,14.0,8
1.4000000000000001,15.0,8
1.6,0.0,8
1.6,1.0,8
1.6,2.0,8
1.6,3.0,8
1.6,4.0,8
